Cluster ID	Serotype	vOTU in the cluster with the serotype	vOTU in the cluster	percentage of vOTU in the cluster with the serotype	Confidence level
cl60_91	K123;K60	22;17	60	0.366667;0.283333	Confident;Confident
cl60_93	K36	2	2	1.0	Highly confident
cl60_97	K19	80	117	0.683761	Confident
cl60_98	K177	1	1	1.0	Highly confident
cl60_99	K184	1	1	1.0	Highly confident
cl60_101	K64	1	1	1.0	Highly confident
cl60_108	K3	30	41	0.731707	Confident
cl60_111	K34	23	84	0.27381	Confident
cl60_112	K115	13	27	0.481481	Confident
cl60_116	K64	177	270	0.655556	Confident
cl60_117	K180	20	28	0.714286	Confident
cl60_118	K184	1	1	1.0	Highly confident
cl60_120	K81	49	67	0.731343	Confident
cl60_121	K127	47	72	0.652778	Confident
cl60_122	K64	1	1	1.0	Highly confident
cl60_126	K62	1	1	1.0	Highly confident
cl60_127	K53	5	5	1.0	Highly confident
cl60_128	K136	4	4	1.0	Highly confident
cl60_129	K24	1	1	1.0	Highly confident
cl60_131	K140	10	11	0.909091	Highly confident
cl60_137	K62	47	53	0.886792	Confident
cl60_141	K12	37	58	0.637931	Confident
cl60_144	K180	2	6	0.333333	Uncertain
cl60_145	K17	20	69	0.289855	Confident
cl60_149	K17	161	233	0.690987	Confident
cl60_152	K117	20	32	0.625	Confident
cl60_153	K157	18	26	0.692308	Confident
cl60_154	K64	1	1	1.0	Highly confident
cl60_155	K81	23	33	0.69697	Confident
cl60_156	K127	2	2	1.0	Highly confident
cl60_160	K143	5	12	0.416667	Confident
cl60_161	K64	36	95	0.378947	Confident
cl60_166	K14	19	31	0.612903	Confident
cl60_169	K163	6	7	0.857143	Confident
cl60_170	K30	4	8	0.5	Confident
cl60_171	K153	18	20	0.9	Confident
cl60_172	K3	1	2	0.5	Uncertain
cl60_181	O1	7	7	1.0	Highly confident
cl60_184	K151	3	3	1.0	Highly confident
cl60_188	K62	1	1	1.0	Highly confident
cl60_191	K14	187	270	0.692593	Confident
cl60_192	O103	3	8	0.375	Uncertain
cl60_194	K110	1	1	1.0	Highly confident
cl60_195	K71	13	38	0.342105	Confident
cl60_196	O2afg	2	3	0.666667	Uncertain
cl60_198	K177	1	1	1.0	Highly confident
cl60_200	K128	16	20	0.8	Confident
cl60_201	K107	63	95	0.663158	Confident
cl60_203	O3/O3a	6	6	1.0	Highly confident
cl60_207	K112	13	16	0.8125	Confident
cl60_209	K25	178	411	0.43309	Confident
cl60_211	O3b	1	1	1.0	Highly confident
cl60_212	K18	45	53	0.849057	Confident
cl60_214	K23;K28	98;89	276	0.355072;0.322464	Confident;Confident
cl60_216	K140	2	3	0.666667	Uncertain
cl60_217	O101	4	5	0.8	Confident
cl60_218	K28	162	295	0.549153	Confident
cl60_220	K53	37	48	0.770833	Confident
cl60_223	O1	3	3	1.0	Highly confident
cl60_224	K155	19	23	0.826087	Confident
cl60_225	O5	16	33	0.484848	Confident
cl60_226	K164	9	11	0.818182	Confident
cl60_231	K81	4	5	0.8	Confident
cl60_232	K105	35	68	0.514706	Confident
cl60_235	O5	1	1	1.0	Highly confident
cl60_238	K22	5	12	0.416667	Confident
cl60_241	K135;K52	1;1	2	0.5;0.5	Uncertain;Uncertain
cl60_250	K34	7	10	0.7	Confident
cl60_251	K139	8	9	0.888889	Confident
cl60_254	O3b	1	1	1.0	Highly confident
cl60_263	O2a	2	3	0.666667	Uncertain
cl60_265	K42	2	2	1.0	Highly confident
cl60_268	O5	3	3	1.0	Highly confident
cl60_269	K130	4	6	0.666667	Confident
